,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
15,10th & Cambie,49.262487,-123.114397,50982adee4b0cb1b3389815d,Sushi California,13276,Sushi Restaurant,152
16,10th & Cambie,49.262487,-123.114397,54b2b74b498ee334f9cb197e,WFM Coffee Bar,13035,Coffee Shop,160
17,10th & Cambie,49.262487,-123.114397,4b4458daf964a52011f425e3,Wendy's,13145,Fast Food Restaurant,135
18,10th & Cambie,49.262487,-123.114397,6014712fc3f434782b2b77ba,Donair Pro,13302,Mediterranean Restaurant,122
19,10th & Cambie,49.262487,-123.114397,4cd3115772a1a1cd3b376351,Uncle Fatih's Pizza,13064,Pizzeria,170
20,10th & Cambie,49.262487,-123.114397,564c119b498edcdb7cf18587,Yolks,13065,Restaurant,167
21,10th & Cambie,49.262487,-123.114397,4aa98676f964a520105420e3,Elysian Coffee Broadway,13035,Coffee Shop,225
22,10th & Cambie,49.262487,-123.114397,51895f17498e25c7c4158725,Old Ginger Szechuan Restaurant,13099,Chinese Restaurant,137
23,10th & Cambie,49.262487,-123.114397,4aa8320cf964a520f94f20e3,Blenz Coffee,13034,Café,144
24,10th & Cambie,49.262487,-123.114397,5c53ffbce4c459002c3e4be8,Heritage Asian Eatery,13072,Asian Restaurant,152
25,10th & Cambie,49.262487,-123.114397,4aa843e0f964a5207f5020e3,Cactus Club Cafe Broadway + Ash,13065,Restaurant,232
26,10th & Cambie,49.262487,-123.114397,4cc08e8200d83704115e4b5c,Benkei Ramen Noodle Shop,13272,Ramen Restaurant,184
27,10th & Cambie,49.262487,-123.114397,4db8723b6a2334682d931f2f,Hutong,13099,Chinese Restaurant,176
28,10th & Cambie,49.262487,-123.114397,4ba16b10f964a5203cb537e3,McDonald's,13031,Burger Joint,170
29,10th & Cambie,49.262487,-123.114397,5bcb670ad0a149002dede4fa,Jammer Cafe and Urban Garage,13034,Café,188
30,10th & Cambie,49.262487,-123.114397,58f13221419a9e1e24489f12,Victoria's Health and Organic Bar,13059,Juice Bar,191
31,10th & Cambie,49.262487,-123.114397,4b7205ecf964a520ac6a2de3,A&W Restaurant,13068,American Restaurant,225
32,10th & Cambie,49.262487,-123.114397,4d59e8c48492a143e1382d27,Joti's NOFRILLS Vancouver,17069,Grocery Store / Supermarket,228
33,10th & Cambie,49.262487,-123.114397,4cc9e1bed063a143bde310b4,Benkii,13315,Noodle Restaurant,215
34,10th & Cambie,49.262487,-123.114397,6031681b8f3fbb0da52233f2,Regal Mansion Cusine,13106,Dim Sum Restaurant,216
35,10th & Cambie,49.262487,-123.114397,609ef58dd693b37f054cfaa2,Red Burrito,13305,Burrito Restaurant,221
36,10th & Cambie,49.262487,-123.114397,63379a0e45a3df6999cb4d50,Pizza Rubato Napoletana,13064,Pizzeria,221
37,10th & Cambie,49.262487,-123.114397,5b6c8e6bbd4009002c2b3bcf,Bubble Waffle Cafe,13072,Asian Restaurant,222
38,10th & Cambie,49.262487,-123.114397,4be48099910020a134ced114,Cultured Coffee & Tea,13035,Coffee Shop,223
39,10th & Cambie,49.262487,-123.114397,62d47a8219f50c000af52313,Five Star Fried Chicken,13055,Fried Chicken Joint,236
40,Yaletown-Roundhouse Station,49.274566,-123.121817,5a878c33f8cbd46ab822ef69,MeeT in Yaletown,13377,Vegan and Vegetarian Restaurant,36
41,Yaletown-Roundhouse Station,49.274566,-123.121817,4aa804eaf964a520c24e20e3,Starbucks,13035,Coffee Shop,29
42,Yaletown-Roundhouse Station,49.274566,-123.121817,5751fda3498e4f21436b3b09,Mister,13046,Ice Cream Parlor,66
43,Yaletown-Roundhouse Station,49.274566,-123.121817,4aa80cc4f964a520fd4e20e3,Sushi Maro Japanese Restaurant,13276,Sushi Restaurant,17
44,Yaletown-Roundhouse Station,49.274566,-123.121817,515d0176fe70ed72be0f6d2f,Black Echo Coffee,13034,Café,10
45,Yaletown-Roundhouse Station,49.274566,-123.121817,4e97348029c2e08637439e39,Loving Hut Express,13053,Food Stand,74
46,Yaletown-Roundhouse Station,49.274566,-123.121817,4e2901b5b61c41a2f8a38ab3,The Flying Pig Yaletown,13068,American Restaurant,83
47,Yaletown-Roundhouse Station,49.274566,-123.121817,4b4fdbd2f964a520c91727e3,Hapa Izakaya,13003,Bar,79
