,avg_poi_rating,avg_poi_review_count,avg_poi_price,avg_poi_distance,avg_poi_popularity,poi_popularity_sum,id,latitude,longitude,name,total_slots
0,3.8,204.0,1.9,386.198278948139,767.3,15346.0,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,35
1,3.9285714285714284,80.42857142857143,1.7142857142857142,156.17432386646644,302.35714285714283,2116.5,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,16
2,3.03125,86.25,1.375,120.42524003333719,307.78125,4924.5,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,26
3,3.55,65.8,1.5,160.39365556846377,259.85,2598.5,66f873d641d448bd1572ab086665a458,49.260599,-123.113504,12th & Yukon (City Hall),16
4,3.275,117.6,1.6,152.997635959079,411.525,8230.5,485d4d24c803cfde829ab89699fed833,49.264215,-123.117772,8th & Ash,16
5,3.8076923076923075,100.38461538461539,1.6923076923076923,181.28641249454145,386.8076923076923,5028.5,b07d513f87897cff7319a0e59d7e567c,49.270877,-123.115103,Spyglass & Seawall,14
6,3.6315789473684212,126.6842105263158,1.736842105263158,159.95465202291697,460.10526315789474,8742.0,d1c9556d92f329703229fb3e33899a3b,49.26893,-123.11813,Stamps Landing,14
7,3.2916666666666665,64.41666666666667,1.5,180.20925452170934,208.125,2497.5,95e624191c655f50e401d280cd39a9ad,49.271721,-123.104207,Ontario & Seawall,20
8,4.3,109.8,1.4,201.8044551764247,452.5,2262.5,3e112f9fe877e0003780386359060ae6,49.287214,-123.11287,Canada Place,26
9,3.625,105.85,1.75,225.90768558548226,377.8,7556.0,6993b3dbb0758927967592ea612a2b1e,49.282409,-123.118541,Granville & Georgia,20
10,3.676470588235294,50.588235294117645,1.4705882352941178,199.2722372197016,189.1764705882353,3216.0,bf8408067b0e0c963f3ff526977bcef3,49.287097,-123.118551,Pender & Burrard,26
11,3.710526315789474,77.78947368421052,1.5789473684210527,149.83879403197676,299.36842105263156,5688.0,d2244f1a81d317c76cabd65e81250835,49.273471,-123.118016,Marinaside & Davie,22
12,3.7857142857142856,205.57142857142858,1.5714285714285714,242.3790336329276,821.4285714285714,5750.0,0b543fc4e694fe07a54dac48bb1b3390,49.282758,-123.122092,Robson & Hornby,29
13,3.727272727272727,127.27272727272727,1.8181818181818181,84.75014275471408,491.95454545454544,5411.5,1b4c6f63f4bfbbd983992dbdca776865,49.286042,-123.113176,Cordova & Granville,22
14,3.875,194.25,1.5,124.87718674066527,776.5,9318.0,fbb1d30d7f30b049873f5be5688563d4,49.28602,-123.116624,Hornby & Pender,22
15,3.7142857142857144,173.42857142857142,1.8571428571428572,86.37716794088585,652.1428571428571,4565.0,7181df50ee1d1a05559399211382b7c8,49.279739,-123.116251,Homer & Robson (Vancouver Public Library),20
16,3.775,133.75,1.65,88.19401919975573,519.75,10395.0,2ef000bc9d4650d8cc6198c4d570b19f,49.277483,-123.114279,Beatty & Robson,18
17,3.5,44.0,1.8,200.05279858433326,150.0,750.0,b7683a86874e6300fd89f4cc0b075f57,49.275679,-123.116963,Beatty & Nelson,14
18,4.5,219.5,1.5,255.27932011199292,879.5,1759.0,3367c1e1dbf73caf7c10e4c96a92f58d,49.282759,-123.106955,Abbott & Cordova,22
19,3.789473684210526,77.05263157894737,1.7894736842105263,86.08093873040514,297.60526315789474,5654.5,1d7e73b3321ebb6713774d376247d9f9,49.288444,-123.139203,Comox & Denman,18
20,4.0,51.5,2.0,246.5686186837813,206.0,412.0,664502c28e8147615f17b8ea355f40d0,49.289124,-123.12196,Cordova & Bute,17
21,3.25,195.625,1.75,118.74709161900901,727.6875,5821.5,6c24a62b5ee0a2a8014eb0dfb6d40025,49.28062,-123.12482,Hornby & Nelson,18
22,3.5294117647058822,52.705882352941174,1.588235294117647,201.35649436904984,197.73529411764707,3361.5,fad9ebcf614dd1a72593a34072ff76f8,49.279938,-123.127478,Helmcken & Burrard,15
23,3.5,139.21428571428572,1.7142857142857142,125.18412007634991,470.5,6587.0,3a4131fa94946d93d3529136efd62413,49.273663,-123.127075,Pacific & Richards,14
24,4.125,135.5,1.75,179.20826487191016,579.5,2318.0,25318ec3e06fae1397a3a2f645104149,49.28972,-123.144028,Chilco & Beach,14
25,3.4545454545454546,107.0,1.6363636363636365,148.08975593464405,396.6363636363636,4363.0,444991edc9550be0908f032da5e3c95f,49.285253,-123.134356,Comox & Broughton,12
26,3.6666666666666665,104.66666666666667,2.3333333333333335,167.0911595576637,376.0,1128.0,434b6f4e7fc30198f901b60fc905f609,49.283343,-123.131099,Bute & Comox,22
27,3.625,29.75,1.5,202.71971818804937,105.375,421.5,f97d5bf41f35aa181288429fb52e3488,49.284605,-123.108662,Cambie & Water,32
28,3.925,134.2,1.55,104.48114955536698,526.45,10529.0,fef69fb400210d861107a61db954d037,49.279821,-123.10802,Keefer & Abbott,28
29,3.5,92.75,1.75,260.3632166095223,322.625,1290.5,9d3123425823420514b8ad410074f02d,49.278004,-123.105664,Expo & Carrall,16
30,3.763157894736842,104.42105263157895,1.6842105263157894,162.9336346383232,398.0,7562.0,f1ca711137cde59e824167a4274df888,49.279342,-123.101822,Keefer & Columbia,14
31,3.8,138.1,1.6,113.66261111124717,528.65,10573.0,4f6ebf2026d540ffe40e29a80138ad5e,49.273833,-123.114373,Marinaside & Cooperage,26
32,3.730769230769231,145.23076923076923,2.0,168.46968148968367,518.7307692307693,6743.5,be14efdc86dedd6a8cd338e78ab4e7c7,49.28526,-123.141809,Bidwell & Burnaby,26
